# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL
# Instrument ID: FTFTXG3E
# Data supplier: 
# Location name: Sabana Bogota
# Position (lat, lon, elev(m)): 4.5, -74.25, 2600
# Local timezone: America/Bogota
# Time Synchronization: Local
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: MOVING
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: up
# Field of view (degrees): 10
# Number of fields per line: 5
# SQM serial number: 2120
# SQM hardware identity: FTFTXG3E
# SQM firmware version: 4-6-76
# SQM cover offset value: -0.13
# SQM readout test ix (Information): i,00000004,00000006,00000076,00002120
# SQM readout test rx (Reading): r, 08.15m,0000024124Hz,0000000000c,0000000.000s, 024.4C
# SQM readout test cx (Calibration): c,00000019.10m,0000223.203s, 021.9C,00000008.71m, 021.9C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000008.00m,00000008.00m
# DL time difference (seconds): -24
# DL retrieved at (UTC): 2024-04-06T22:07:45.724
# DL trigger seconds : 2
# DL trigger minutes : 2
# DL trigger threshold : 5
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.347
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-04-01T00:01:05.000;2024-03-31T19:01:05.000;14.1;4.95;16.86;1
2024-04-01T00:03:05.000;2024-03-31T19:03:05.000;14.1;4.95;17.02;1
2024-04-01T00:05:05.000;2024-03-31T19:05:05.000;13.8;4.95;17.02;1
2024-04-01T00:07:05.000;2024-03-31T19:07:05.000;13.8;4.95;16.76;1
2024-04-01T00:09:05.000;2024-03-31T19:09:05.000;13.8;4.95;16.58;1
2024-04-01T00:11:05.000;2024-03-31T19:11:05.000;13.8;4.95;16.64;1
2024-04-01T00:13:05.000;2024-03-31T19:13:05.000;13.8;4.95;16.63;1
2024-04-01T00:15:05.000;2024-03-31T19:15:05.000;13.8;4.95;16.59;1
2024-04-01T00:17:05.000;2024-03-31T19:17:05.000;13.8;4.95;16.58;1
2024-04-01T00:19:05.000;2024-03-31T19:19:05.000;13.8;4.95;16.55;1
2024-04-01T00:21:05.000;2024-03-31T19:21:05.000;13.8;4.95;16.53;1
2024-04-01T00:23:05.000;2024-03-31T19:23:05.000;13.8;4.95;16.50;1
2024-04-01T00:25:05.000;2024-03-31T19:25:05.000;13.5;4.95;16.48;1
2024-04-01T00:27:05.000;2024-03-31T19:27:05.000;13.5;4.95;16.46;1
2024-04-01T00:29:05.000;2024-03-31T19:29:05.000;13.5;4.95;16.38;1
2024-04-01T00:31:05.000;2024-03-31T19:31:05.000;13.5;4.95;16.31;1
2024-04-01T00:33:05.000;2024-03-31T19:33:05.000;13.5;4.95;16.30;1
2024-04-01T00:35:05.000;2024-03-31T19:35:05.000;13.5;4.95;16.32;1
2024-04-01T00:37:05.000;2024-03-31T19:37:05.000;13.5;4.95;16.32;1
2024-04-01T00:39:05.000;2024-03-31T19:39:05.000;13.5;4.95;16.30;1
2024-04-01T00:41:05.000;2024-03-31T19:41:05.000;13.5;4.95;16.31;1
2024-04-01T00:43:05.000;2024-03-31T19:43:05.000;13.5;4.95;16.32;1
2024-04-01T00:45:05.000;2024-03-31T19:45:05.000;13.5;4.95;16.39;1
2024-04-01T00:47:05.000;2024-03-31T19:47:05.000;13.5;4.95;16.45;1
2024-04-01T00:49:05.000;2024-03-31T19:49:05.000;13.5;4.95;16.41;1
2024-04-01T00:51:05.000;2024-03-31T19:51:05.000;13.2;4.95;16.32;1
2024-04-01T00:53:05.000;2024-03-31T19:53:05.000;13.2;4.95;16.24;1
2024-04-01T00:55:05.000;2024-03-31T19:55:05.000;13.2;4.95;16.23;1
2024-04-01T00:57:05.000;2024-03-31T19:57:05.000;13.2;4.95;16.26;1
2024-04-01T00:59:05.000;2024-03-31T19:59:05.000;13.2;4.95;16.32;1
2024-04-01T01:01:05.000;2024-03-31T20:01:05.000;13.2;4.95;16.37;1
2024-04-01T01:03:05.000;2024-03-31T20:03:05.000;13.2;4.95;16.39;1
2024-04-01T01:05:05.000;2024-03-31T20:05:05.000;13.2;4.95;16.32;1
2024-04-01T01:07:05.000;2024-03-31T20:07:05.000;13.2;4.95;16.31;1
2024-04-01T01:09:05.000;2024-03-31T20:09:05.000;13.2;4.95;16.32;1
2024-04-01T01:11:05.000;2024-03-31T20:11:05.000;13.2;4.95;16.32;1
2024-04-01T01:13:05.000;2024-03-31T20:13:05.000;13.2;4.95;16.27;1
2024-04-01T01:15:05.000;2024-03-31T20:15:05.000;13.2;4.95;16.27;1
2024-04-01T01:17:05.000;2024-03-31T20:17:05.000;13.2;4.95;16.33;1
2024-04-01T01:19:05.000;2024-03-31T20:19:05.000;13.2;4.95;16.29;1
2024-04-01T01:21:05.000;2024-03-31T20:21:05.000;13.2;4.95;16.45;1
2024-04-01T01:23:05.000;2024-03-31T20:23:05.000;13.2;4.95;16.46;1
2024-04-01T01:25:05.000;2024-03-31T20:25:05.000;13.2;4.95;16.40;1
2024-04-01T01:27:05.000;2024-03-31T20:27:05.000;13.2;4.95;16.33;1
2024-04-01T01:29:05.000;2024-03-31T20:29:05.000;13.2;4.95;16.20;1
2024-04-01T01:31:05.000;2024-03-31T20:31:05.000;13.2;4.95;16.22;1
2024-04-01T01:33:05.000;2024-03-31T20:33:05.000;13.2;4.95;16.20;1
